278,559,826,550,827,615,279,624
287,638,831,627,832,685,289,695
281,708,809,697,810,750,282,762
309,774,803,765,803,814,310,822
340,832,757,823,758,865,341,874
351,963,738,955,739,989,351,997
333,879,736,872,736,909,334,916
354,923,742,915,742,950,355,959
377,1288,754,1278,755,1310,378,1320
302,1252,686,1242,687,1273,303,1283
327,1005,707,993,708,1024,328,1037
303,1184,683,1174,684,1206,304,1216
329,1110,687,1097,688,1128,330,1142
290,1221,692,1211,692,1242,291,1251
281,1356,596,1351,597,1384,282,1389
269,1074,616,1063,617,1094,270,1106
264,1043,616,1031,617,1060,265,1072
272,1321,631,1315,632,1347,272,1353
252,1146,618,1135,619,1166,253,1178
476,1143,838,1135,839,1168,476,1175
492,1322,843,1319,843,1352,492,1354
569,1032,861,1028,861,1059,570,1063
581,1067,862,1063,863,1094,582,1098
