286,612,870,618,869,691,286,685
903,208,1688,197,1690,361,906,371
968,389,1703,379,1705,504,969,514
261,180,979,184,978,350,260,346
975,531,1641,518,1643,607,976,619
315,373,1053,364,1055,488,317,498
265,715,781,709,782,776,266,782
1219,814,1720,807,1721,869,1220,876
1113,651,1739,645,1740,719,1114,725
267,946,719,939,720,989,268,996
241,797,721,791,722,855,242,861
263,511,886,505,887,592,264,599
1215,734,1770,727,1771,795,1216,802
774,730,1343,719,1344,786,776,797
1327,964,1768,957,1769,1006,1328,1013
1094,892,1580,882,1581,939,1095,949
1405,1079,1836,1072,1837,1116,1406,1123
230,1062,641,1057,642,1101,231,1106
308,877,785,873,786,928,308,933
1412,1130,1843,1124,1843,1168,1413,1173
501,1116,910,1111,911,1156,502,1162
1401,1025,1820,1018,1821,1063,1402,1070
497,1013,989,1006,990,1051,498,1059
891,962,1389,948,1390,997,892,1012
718,1071,1180,1066,1181,1107,718,1113
683,810,1229,798,1231,863,684,875
198,1006,625,1002,626,1048,198,1052
1098,1075,1562,1069,1562,1112,1098,1118
1146,1127,1560,1122,1561,1166,1147,1171
504,1172,877,1169,877,1243,504,1246
649,888,1144,876,1146,930,650,942
1177,1178,1447,1176,1448,1248,1178,1251
769,1121,1233,1115,1234,1158,770,1165
738,636,1371,632,1372,705,738,709
147,1110,440,1107,441,1149,148,1152
863,1018,1374,1011,1374,1057,863,1063
598,955,1098,945,1099,995,599,1006
