344,545,1027,535,1028,645,345,654
348,1305,1036,1296,1037,1406,350,1416
359,696,1032,687,1034,785,360,795
345,945,1016,934,1017,1027,346,1038
353,1078,1015,1066,1017,1156,355,1168
336,823,993,812,994,908,337,918
424,395,1024,386,1025,498,425,507
328,1197,975,1184,976,1266,329,1279
378,1448,1004,1438,1005,1522,379,1533
199,249,634,242,635,345,201,351
632,240,1149,235,1150,339,633,344
284,1564,815,1556,816,1627,285,1635
654,1566,1191,1558,1192,1629,655,1636
293,1669,632,1664,633,1737,294,1742
